Name,Type,OfficialOrCommunity,URL,SourceRepo,MainPurpose,TargetUsers,SupportedAgents,InstallMethod,Authentication,Pricing,OpenSource,License,LastUpdate,Activity,SecurityNotes,BeginnerFriendly,RecommendedSection,VerifiedDate,EvidenceURL,Tier
Anthropic Agent Skills Standard,Standard,Official,https://agentskills.io/specification,https://github.com/agentskills/agentskills,SKILL.md open format spec (name/description frontmatter),All skill authors,Cross-platform SKILL.md agents,Read spec; follow field rules,None,Free,Yes,Open,2026-08,Active,Cross-platform; review generated skills,Yes,PART6.15 Skill / PART7.2,2026-09-18,https://agentskills.io/specification,A
Anthropic Skills Engineering Blog,Standard,Official,https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,N/A,Official blog post announcing Agent Skills open standard,"Learners, authors",N/A,Read,None,Free,N/A,N/A,2025-10,Reference,Read-only,Yes,PART0 / PART6.15,2026-09-18,https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills,A
MCP Official Specification,Standard,Official,https://modelcontextprotocol.io/docs/2026-07-28/getting-started/intro,N/A,"MCP protocol spec (JSON-RPC 2.0, Host/Client/Server)","Developers, advanced users",MCP-compatible hosts,Read docs,None,Free,Yes,Open,2026-07-28,Active,Understand OAuth 2.1 / OIDC alignment,Yes,PART6.14 MCP,2026-09-18,https://modelcontextprotocol.io/docs/2026-07-28/getting-started/intro,A
MCP Official Registry,Registry,Official,https://registry.modelcontextprotocol.io/,https://github.com/modelcontextprotocol/registry,Official MCP server metadata registry with DNS-verified namespaces,"Developers, users",MCP clients,Browse / REST API,Free tier,Free,Yes,Open,2026-09,Active,Registry does not certify quality; audit servers,Yes,PART7.7 Add MCP,2026-09-18,https://modelcontextprotocol.io/registry/about,A
MCP Blog / Roadmap,Standard,Official,https://blog.modelcontextprotocol.io/posts/mcp-roadmap/,N/A,MCP roadmap and release notes,Developers,N/A,Read,None,Free,N/A,N/A,2026-08,Active,Track spec evolution,Yes,PART6.14,2026-09-18,https://blog.modelcontextprotocol.io/posts/mcp-roadmap/,A
Claude Code Docs (Plugins),Docs,Official,https://code.claude.com/docs/en/plugins,N/A,Claude Code plugin/skill/hook package format docs,Claude Code users,Claude Code,Read; /plugin install,Anthropic account,Free (with subscription),N/A,N/A,2026-09,Active,Hooks run arbitrary commands; review,Yes,PART7.2 / PART10,2026-09-18,https://code.claude.com/docs/en/plugins,A
Claude Code Plugin Marketplaces,Docs,Official,https://code.claude.com/docs/en/plugin-marketplaces,N/A,How to create/distribute a plugin marketplace JSON,Advanced users,Claude Code,Read; /plugin marketplace add,Anthropic account,Free,N/A,N/A,2026-08,Active,Marketplace JSON trust,Partial,PART7.15,2026-09-18,https://code.claude.com/docs/en/plugin-marketplaces,A
OpenAI Codex (github.com/openai/codex),Coding Agent,Official,https://github.com/openai/codex,https://github.com/openai/codex,Open-source terminal coding agent; AGENTS.md convention,Developers,Codex CLI,npm install / brew,OpenAI API key or ChatGPT auth,Free+paid API,Yes,Open,2026-09,Active,Sandbox model; review AGENTS.md,Yes,PART7 / LAB F,2026-09-18,https://openai.com/index/unrolling-the-codex-agent-loop/,A
OpenAI Agents API (Codex harness),API,Official,https://openai.com/index/introducing-the-agents-api/,N/A,"Cloud agents with Codex harness, fully managed",Developers,OpenAI Agents API,API call,OpenAI API key,Paid,N/A,N/A,2026-09-10,Active,Managed sandbox,Partial,PART10,2026-09-18,https://openai.com/index/introducing-the-agents-api/,A
Gemini CLI Docs,Docs,Official,https://geminicli.com/docs/cli/skills/,https://github.com/google-gemini/gemini-cli,"Gemini CLI extensions, skills, GEMINI.md, subagents docs",Developers,Gemini CLI,npm install,Google account / API key,Free tier,Yes,Apache 2.0,2026-04,Active,Policy engine deny rules,Yes,PART7 / LAB F,2026-09-18,https://geminicli.com/docs/cli/skills/,A
GitHub Copilot Agent Skills Docs,Docs,Official,https://code.visualstudio.com/docs/copilot/customization/agent-skills,N/A,VS Code / Visual Studio / Copilot CLI Agent Skills support,Developers,"GitHub Copilot (VS Code, VS, CLI, cloud)",Read; .github/skills/,GitHub account,Paid (Copilot subscription),N/A,N/A,2026-05,Active,Workspace skills version-controlled,Yes,PART7.2,2026-09-18,https://code.visualstudio.com/docs/copilot/customization/agent-skills,A
